312.16,-43.377,
312.57,-43.602,
312.96,-43.632,
313.36,-43.381,
313.76,-42.992,
314.16,-42.282,
314.56,-41.598,
314.97,-40.834,
315.37,-40.47,
315.76,-40.12,
316.16,-39.697,
316.57,-39.315,
316.97,-38.907,
317.36,-38.723,
317.76,-38.535,
318.16,-38.328,
318.56,-38.174,
318.96,-38.011,
319.37,-37.815,
319.77,-37.85,
320.16,-37.98,
320.56,-38.297,
320.97,-38.941,
321.37,-39.495,
321.77,-40.352,
322.17,-41.367,
322.56,-42.525,
322.96,-44.824,
323.36,-47.869,
323.76,-52.58,
324.17,-60.852,
324.57,-58.616,
324.97,-51.325,
325.38,-46.595,
325.78,-43.878,
326.17,-41.677,
326.57,-39.673,
326.97,-38.316,
327.37,-36.844,
327.77,-35.697,
328.17,-34.425,
328.58,-33.421,
328.98,-32.427,
329.38,-31.688,
329.78,-31.108,
330.18,-30.581,
330.58,-30.239,
330.98,-29.967,
331.39,-29.847,
331.79,-29.854,
332.19,-29.975,
332.59,-30.228,
332.99,-30.481,
333.39,-30.734,
333.79,-31.011,
334.19,-31.319,
334.59,-31.707,
334.99,-32.104,
335.39,-32.686,
335.8,-33.22,
336.2,-33.828,
336.6,-34.651,
336.99,-35.492,
337.39,-36.576,
337.8,-37.542,
338.2,-38.303,
338.6,-38.449,
339,-37.815,
339.4,-36.661,
339.81,-35.57,
340.21,-34.177,
340.61,-33.055,
341.01,-31.813,
341.41,-30.904,
341.81,-30.126,
342.22,-29.389,
342.61,-28.933,
343.02,-28.521,
343.42,-28.315,
343.82,-28.179,
344.21,-28.15,
344.61,-28.248,
345.02,-28.447,
345.42,-28.824,
345.82,-29.541,
346.22,-30.439,
346.62,-31.891,
347.02,-33.641,
347.42,-36.322,
347.82,-39.544,
348.22,-42.557,
348.62,-39.637,
349.02,-35.4,
349.41,-31.794,
349.81,-29.304,
350.22,-27.307,
350.62,-25.379,
351.02,-23.953,
351.42,-22.424,
351.81,-21.259,
352.22,-20.107,
352.62,-19.256,
353.01,-18.467,
353.42,-17.606,
353.82,-16.938,
354.22,-16.238,
354.63,-15.713,
355.02,-15.15,
355.43,-14.694,
355.83,-14.264,
356.23,-13.818,
356.62,-13.481,
357.02,-13.164,
357.42,-12.941,
357.82,-12.725,
358.22,-12.553,
358.62,-12.413,
359.02,-12.285,
359.42,-12.218,
359.82,-12.191,
0.22,-12.194,
0.62,-12.238,
1.02,-12.331,
1.42,-12.451,
1.82,-12.658,
2.23,-12.857,
2.63,-13.135,
3.02,-13.403,
3.42,-13.698,
3.82,-14.082,
4.22,-14.375,
4.62,-14.872,
5.02,-15.341,
5.43,-15.969,
5.82,-16.545,
6.22,-17.177,
6.63,-17.97,
7.02,-18.688,
7.42,-19.615,
7.82,-20.484,
8.22,-21.447,
8.62,-22.693,
9.02,-23.873,
9.42,-25.39,
9.83,-26.771,
10.23,-28.31,
10.62,-29.372,
11.02,-29.954,
11.42,-29.925,
11.82,-29.429,
12.23,-28.602,
12.62,-27.831,
13.02,-26.99,
13.42,-26.368,
13.83,-25.861,
14.23,-25.377,
14.62,-25.013,
15.02,-24.795,
15.42,-24.662,
15.82,-24.604,
16.22,-24.626,
16.62,-24.715,
17.03,-24.93,
17.43,-25.177,
17.83,-25.576,
18.23,-25.994,
18.62,-26.604,
19.03,-27.204,
19.43,-27.88,
19.83,-28.844,
20.23,-29.769,
20.62,-30.966,
21.02,-32.177,
21.43,-33.525,
21.83,-35.412,
22.22,-37.335,
22.61,-39.823,
23.02,-42.072,
23.43,-43.547,
23.82,-42.935,
24.23,-41.256,
24.62,-39.238,
25.02,-37.693,
25.43,-36.33,
25.82,-35.371,
26.22,-34.557,
26.63,-33.794,
27.03,-33.371,
27.43,-33.022,
27.83,-32.862,
28.23,-32.775,
28.63,-32.832,
29.03,-32.944,
29.43,-33.172,
29.83,-33.404,
30.24,-33.734,
30.64,-34.094,
31.04,-34.544,
31.44,-35.054,
31.83,-35.631,
32.23,-36.446,
32.63,-37.316,
33.03,-38.362,
33.44,-39.347,
33.83,-40.344,
34.24,-41.262,
34.63,-41.797,
35.04,-41.957,
35.44,-41.853,
35.83,-41.3,
36.24,-40.537,
36.64,-39.703,
37.04,-38.853,
37.45,-37.966,
37.84,-37.357,
38.24,-36.859,
38.64,-36.437,
39.04,-36.182,
39.45,-36.049,
39.85,-36.042,
40.24,-35.985,
40.65,-36.009,
41.05,-35.92,
41.46,-35.787,
41.85,-35.65,
42.26,-35.58,
42.66,-35.559,
43.06,-35.683,
43.46,-35.935,
43.86,-36.284,
44.26,-36.817,
44.66,-37.252,
45.06,-37.764,
45.46,-38.127,
45.86,-38.476,
46.26,-38.803,
46.67,-39.173,
47.07,-39.503,
47.47,-39.843,
47.87,-40.334,
48.26,-40.744,
48.67,-41.145,
49.08,-41.432,
49.47,-41.685,
49.88,-41.81,
50.28,-41.709,
50.68,-41.481,
51.07,-41.215,
51.48,-40.923,
51.87,-40.696,
52.27,-40.481,
52.67,-40.367,
53.08,-40.26,
53.48,-40.031,
53.88,-39.805,
54.28,-39.503,
54.68,-39.246,
55.08,-38.899,
55.48,-38.604,
55.88,-38.472,
56.28,-38.317,
56.68,-38.103,
57.09,-37.815,
57.48,-37.602,
57.88,-37.265,
58.28,-37.135,
58.68,-37.077,
59.08,-37.117,
59.49,-37.27,
59.88,-37.352,
60.29,-37.382,
60.68,-37.276,
61.09,-37.066,
61.49,-36.956,
61.88,-36.932,
62.28,-37.038,
62.69,-37.32,
63.08,-37.603,
63.49,-37.997,
63.89,-38.204,
64.28,-38.312,
64.69,-38.444,
65.09,-38.589,
65.48,-38.975,
65.89,-39.384,
66.29,-39.962,
66.69,-40.501,
67.09,-41.049,
67.49,-41.406,
67.89,-41.788,
68.29,-42.174,
68.69,-42.52,
69.08,-42.9,
69.48,-43.27,
69.89,-43.47,
70.28,-43.56,
70.68,-43.694,
71.09,-43.824,
71.49,-44.009,
71.89,-44.505,
72.28,-45.258,
72.69,-45.882,
73.09,-46.661,
73.49,-47.062,
73.88,-47.28,
74.29,-47.402,
74.53,-48.23,
75.09,-48.353,
75.49,-48.865,
75.9,-48.92,
76.3,-48.707,
76.69,-48.08,
77.1,-47.173,
77.5,-46.686,
77.9,-46.493,
78.3,-46.54,
78.7,-46.797,
79.1,-46.812,
79.5,-46.614,
79.9,-46.513,
80.31,-46.422,
80.7,-46.483,
81.1,-46.819,
81.51,-47.226,
81.91,-47.489,
82.31,-47.426,
82.72,-47.215,
83.12,-46.98,
83.52,-46.93,
83.92,-47.176,
84.32,-47.565,
84.72,-47.335,
85.13,-46.676,
85.52,-45.937,
85.93,-45.133,
86.33,-44.793,
86.73,-44.851,
87.13,-45.066,
87.53,-45.254,
87.93,-45.066,
88.33,-44.686,
88.73,-44.261,
89.14,-44.162,
89.51,-44.206,
89.79,-44.163,
