Energy_Wh,raw_voltage_mean,isotonic_voltage
84.06038,31.469,31.478999999999996
84.28708,31.489,31.478999999999996
84.51349,31.489,31.478999999999996
84.73984,31.479,31.478999999999996
84.96647,31.479,31.478999999999996
85.19331,31.469,31.469
85.41987,31.469,31.469
85.64606,31.459,31.459
85.87226,31.459,31.459
86.10229,31.439,31.446999999999996
86.3326,31.439,31.446999999999996
86.55866,31.439,31.446999999999996
86.78485,31.459,31.446999999999996
87.01105,31.459,31.446999999999996
87.24108,31.439,31.439
87.47139,31.439,31.439
87.69745,31.439,31.439
87.92322,31.439,31.439
88.14871,31.439,31.439
88.37498,31.429,31.429
88.60096,31.429,31.429
88.8266,31.419,31.429
89.05223,31.419,31.429
89.278,31.439,31.429
89.50349,31.439,31.429
89.72976,31.429,31.429
89.95575,31.429,31.429
90.18138,31.419,31.419
90.40701,31.419,31.419
90.63264,31.419,31.419
90.85848,31.409,31.409
91.08404,31.409,31.409
91.30924,31.399,31.407
91.53501,31.399,31.407
91.76064,31.419,31.407
91.98648,31.409,31.407
92.21204,31.409,31.407
92.43724,31.399,31.399
92.66301,31.399,31.399
92.88843,31.389,31.389
93.11355,31.389,31.389
93.33897,31.389,31.389
93.56849,31.369,31.382333333333335
93.79354,31.379,31.382333333333335
94.0186,31.379,31.382333333333335
94.24402,31.389,31.382333333333335
94.46915,31.389,31.382333333333335
94.69456,31.389,31.382333333333335
94.92408,31.369,31.37566666666667
95.14914,31.379,31.37566666666667
95.37419,31.379,31.37566666666667
95.5989,31.369,31.369
95.82361,31.369,31.369
96.04824,31.359,31.363000000000007
96.27288,31.359,31.363000000000007
96.49779,31.359,31.363000000000007
96.7225,31.369,31.363000000000007
96.94721,31.369,31.363000000000007
97.17184,31.359,31.358999999999998
97.39647,31.359,31.358999999999998
97.62139,31.359,31.358999999999998
97.84623,31.349,31.349
98.07411,31.339,31.339
98.30277,31.329,31.337333333333333
98.52754,31.339,31.337333333333333
98.75203,31.339,31.337333333333333
98.97645,31.329,31.337333333333333
99.20129,31.349,31.337333333333333
99.42917,31.339,31.337333333333333
99.65783,31.329,31.33566666666667
99.8826,31.339,31.33566666666667
100.1071,31.339,31.33566666666667
100.3315,31.329,31.329
100.5556,31.329,31.329
100.78,31.319,31.319
101.0079,31.309,31.317
101.2323,31.319,31.317
101.4563,31.309,31.317
101.6804,31.329,31.317
101.9048,31.319,31.317
102.1327,31.309,31.314
102.3571,31.319,31.314
102.581,31.309,31.309
102.805,31.309,31.309
103.0293,31.309,31.309
103.2571,31.289,31.29733333333333
103.481,31.299,31.29733333333333
103.7063,31.289,31.29733333333333
103.9313,31.289,31.29733333333333
104.1553,31.309,31.29733333333333
104.3795,31.309,31.29733333333333
104.6073,31.289,31.294
104.8313,31.299,31.294
105.0565,31.289,31.289
105.2815,31.289,31.289
105.5103,31.268,31.27133333333333
105.739,31.268,31.27133333333333
105.9637,31.278,31.27133333333333
106.1882,31.268,31.268
106.4169,31.258,31.267999999999994
106.6457,31.268,31.267999999999994
106.8745,31.268,31.267999999999994
107.0991,31.278,31.267999999999994
107.3236,31.268,31.267999999999994
107.5523,31.258,31.262999999999998
107.7769,31.268,31.262999999999998
108.0016,31.258,31.258
108.2261,31.258,31.258
108.4509,31.258,31.258
108.6747,31.248,31.256333333333334
108.8988,31.248,31.256333333333334
109.1234,31.268,31.256333333333334
109.3481,31.258,31.256333333333334
109.5726,31.258,31.256333333333334
109.7974,31.258,31.256333333333334
110.0212,31.248,31.248
110.2453,31.248,31.248
110.4735,31.228,31.23466666666667
110.6976,31.238,31.23466666666667
110.9216,31.238,31.23466666666667
111.1453,31.228,31.228000000000005
111.3731,31.208,31.228000000000005
111.5973,31.228,31.228000000000005
111.8255,31.228,31.228000000000005
112.0496,31.238,31.228000000000005
112.2736,31.238,31.228000000000005
112.4973,31.228,31.228
112.7251,31.208,31.218
112.9494,31.228,31.218
113.1733,31.218,31.218
113.401,31.198,31.21
113.6249,31.218,31.21
113.8484,31.208,31.21
114.0717,31.208,31.21
114.2956,31.218,31.21
114.5233,31.198,31.208
114.7472,31.218,31.208
114.9708,31.208,31.208
115.194,31.208,31.208
115.4175,31.198,31.198
115.641,31.198,31.198
115.8638,31.188,31.191333333333333
116.0872,31.188,31.191333333333333
116.3107,31.188,31.191333333333333
116.5341,31.188,31.191333333333333
116.7575,31.198,31.191333333333333
116.981,31.198,31.191333333333333
117.2039,31.188,31.188
117.4273,31.188,31.188
117.6507,31.188,31.188
117.8741,31.188,31.188
118.098,31.178,31.178
118.3227,31.168,31.168
118.5476,31.168,31.168
118.7723,31.168,31.167999999999996
118.9969,31.158,31.167999999999996
119.2208,31.178,31.167999999999996
119.4455,31.168,31.167999999999996
119.6704,31.168,31.167999999999996
