Energy_Wh,TOTAL_BATTERY_VOLTAGE,Discharged_Ah
52.54244,31.821,1.6276305276006529
52.77088,31.851,1.6348060521640402
52.99955,31.841,1.6419865457896132
53.22842,31.831,1.6491755770749505
53.45923,31.821,1.6564278236657881
53.68861,31.821,1.663636270917603
53.92078,31.811,1.6709335427305274
54.15001,31.801,1.6781406734605784
54.3829,31.791,1.6854651796877766
54.61571,31.781,1.6927894734019904
54.84459,31.791,1.6999901277781306
55.07347,31.791,1.7071896496553916
55.3027,31.801,1.7143990470638706
55.53559,31.791,1.7217235532910689
55.7684,31.781,1.7290478470052826
55.99728,31.791,1.736248501381423
56.22616,31.791,1.7434480232586838
56.45496,31.781,1.7506461608035149
56.68433,31.781,1.7578633660519338
56.91277,31.771,1.7650524395665361
57.14144,31.761,1.7722510166615435
57.36981,31.761,1.779441281451695
57.59861,31.781,1.7866428174436373
57.82798,31.781,1.793860022692056
58.05642,31.771,1.8010490962066585
58.28509,31.761,1.8082476733016657
58.51346,31.761,1.8154379380918173
58.7424,31.761,1.822646149420176
58.97099,31.751,1.8298444741462119
59.1995,31.74,1.8370426597158203
59.42801,31.74,1.8442420926080698
59.65616,31.73,1.851431315863151
59.88431,31.73,1.8586216719929967
60.1129,31.751,1.8658235119136029
60.34141,31.74,1.8730216974832112
60.56992,31.74,1.8802211303754608
60.79806,31.73,1.8874100385210413
61.02621,31.73,1.894600394650887
61.2585,31.71,1.9019235346256662
61.48658,31.72,1.909115084365537
61.71458,31.71,1.9163041116396975
61.94394,31.7,1.9235383018305192
62.17302,31.7,1.9307648002532323
62.40531,31.71,1.9380914048897249
62.63339,31.72,1.9452829546295956
62.86139,31.71,1.9524719819037561
63.09075,31.7,1.9597061720945779
63.31983,31.7,1.966932670517291
63.54854,31.69,1.9741486351804869
63.7814,31.67,1.9814990139683655
64.01427,31.67,1.988852029440421
64.24263,31.68,1.9960615006322129
64.47034,31.67,2.0032504509084554
64.69863,31.67,2.010458850024338
64.93149,31.67,2.0178115497401574
65.16435,31.67,2.025164249455977
65.39271,31.68,2.0323737206477683
65.62043,31.67,2.0395629866304046
65.84872,31.67,2.046771385746287
66.07693,31.66,2.0539783966415976
66.30515,31.66,2.061186861581585
66.53301,31.65,2.068385092508769
66.76116,31.65,2.075593623314456
66.9893,31.65,2.082801838164377
67.21752,31.66,2.090011441702522
67.44573,31.66,2.09721959078654
67.67359,31.65,2.104417821713724
67.90174,31.65,2.111626352519411
68.12988,31.65,2.118834567369332
68.35795,31.64,2.1260417090978834
68.58673,31.62,2.13327471573715
68.81445,31.63,2.140475348148217
69.04245,31.63,2.1476836946546984
69.26981,31.62,2.154872943666556
69.49745,31.62,2.1620721846532733
69.72623,31.62,2.1693074787709206
69.95395,31.63,2.1765081111819877
70.18195,31.63,2.183716457688469
70.40931,31.62,2.1909057067003266
70.63695,31.62,2.198104947687044
70.86488,31.62,2.205313360084261
71.09274,31.61,2.2125206983730483
71.31995,31.6,2.2197097507381804
71.54716,31.6,2.2268999406115983
71.77409,31.6,2.234081269725522
72.00202,31.62,2.2412919625442504
72.22988,31.61,2.2484993008330374
72.45709,31.6,2.2556883531981695
72.6843,31.6,2.2628785430715874
72.91123,31.6,2.2700598721855116
73.13809,31.59,2.277240122225075
73.36467,31.59,2.2844126451753755
73.59153,31.59,2.2915940316900953
73.81831,31.58,2.2987740221919157
74.04673,31.57,2.30600822646745
74.27515,31.57,2.3132435764832877
74.50172,31.59,2.320418054000704
74.72851,31.58,2.327598361108508
74.95693,31.57,2.3348325653840423
75.18534,31.57,2.3420675986434656
75.41646,31.55,2.3493907925598156
75.64396,31.56,2.356600426532245
75.87088,31.56,2.363790540600686
76.09831,31.55,2.3709979562242003
76.32573,31.55,2.3782061971116804
76.55287,31.55,2.385405563197259
76.78037,31.56,2.3926151971696883
77.00729,31.56,2.3998053112381292
77.23472,31.55,2.4070127268616437
77.46214,31.55,2.414220967749124
77.68928,31.55,2.4214203338347025
77.91635,31.54,2.4286186219944743
78.14342,31.54,2.4358180512906067
78.37461,31.52,2.443150433149154
78.60161,31.53,2.450351067566283
